size_id,width,height,canvas_label
20,20,,20 inch Long Edge
24,24,,24 inch Long Edge
30,30,,30 inch Long Edge
36,36,,36 inch Long Edge
40,40,,40 inch Long Edge
48,48,,48 inch Long Edge
56,56,,56 inch Long Edge
1522,15,22,15 inch x 22 inch(38 cm x 56 cm)
1618,16,18,16 inch x 18 inch(41 cm x 46 cm)
1620,16,20,16 inch x 20 inch(41 cm x 51 cm)
1623,16,23,16 inch x 23 inch(41 cm x 58 cm)
1624,16,24,16 inch x 24 inch(41 cm x 61 cm)
1632,16,32,16 inch x 32 inch(41 cm x 81 cm)
1826,18,26,18 inch x 26 inch(46 cm x 66 cm)
1926,19,26,19 inch x 26 inch(48 cm x 66 cm)
1929,19,29,19 inch x 29 inch(48 cm x 74 cm)
2016,20,16,20 inch x 16 inch(51 cm x 41 cm)
2020,20,20,20 inch x 20 inch(51 cm x 51 cm)
2024,20,24,20 inch x 24 inch(51 cm x 61 cm)
2029,20,29,20 inch x 29 inch(51 cm x 74 cm)
2030,20,30,20 inch x 30 inch(51 cm x 76 cm)
2040,20,40,20 inch x 40 inch(51 cm x 102 cm)
2126,21,26,21 inch x 26 inch(53 cm x 66 cm)
2129,21,29,21 inch x 29 inch(53 cm x 74 cm)
2130,21,30,21 inch x 30 inch(53 cm x 76 cm)
2136,21,36,21 inch x 36 inch(53 cm x 91 cm)
2219,22,19,22 inch x 19 inch(56 cm x 48 cm)
2225,22,25,22 inch x 25 inch(56 cm x 64 cm)
2226,22,26,22 inch x 26 inch(56 cm x 66 cm)
2227,22,27,22 inch x 27 inch(56 cm x 69 cm)
2230,22,30,22 inch x 30 inch(56 cm x 76 cm)
2244,22,44,22 inch x 44 inch(56 cm x 112 cm)
2332,23,32,23 inch x 32 inch(58 cm x 81 cm)
2416,24,16,24 inch x 16 inch(61 cm x 41 cm)
2418,24,18,24 inch x 18 inch(61 cm x 46 cm)
2420,24,20,24 inch x 20 inch(61 cm x 51 cm)
2424,24,24,24 inch x 24 inch(61 cm x 61 cm)
2428,24,28,24 inch x 28 inch(61 cm x 71 cm)
2429,24,29,24 inch x 29 inch(61 cm x 74 cm)
2430,24,30,24 inch x 30 inch(61 cm x 76 cm)
2432,24,32,24 inch x 32 inch(61 cm x 81 cm)
2436,24,36,24 inch x 36 inch(61 cm x 91 cm)
2440,24,40,24 inch x 40 inch(61 cm x 102 cm)
2448,24,48,24 inch x 48 inch(61 cm x 122 cm)
2519,25,19,25 inch x 19 inch(64 cm x 48 cm)
2520,25,20,25 inch x 20 inch(64 cm x 51 cm)
2522,25,22,25 inch x 22 inch(64 cm x 56 cm)
2529,25,29,25 inch x 29 inch(64 cm x 74 cm)
2530,25,30,25 inch x 30 inch(64 cm x 76 cm)
2531,25,31,25 inch x 31 inch(64 cm x 79 cm)
2532,25,32,25 inch x 32 inch(64 cm x 81 cm)
2619,26,19,26 inch x 19 inch(66 cm x 48 cm)
2620,26,20,26 inch x 20 inch(66 cm x 51 cm)
2621,26,21,26 inch x 21 inch(66 cm x 53 cm)
2632,26,32,26 inch x 32 inch(66 cm x 81 cm)
2636,26,36,26 inch x 36 inch(66 cm x 91 cm)
2637,26,37,26 inch x 37 inch(66 cm x 94 cm)
2639,26,39,26 inch x 39 inch(66 cm x 99 cm)
2640,26,40,26 inch x 40 inch(66 cm x 102 cm)
2726,27,26,27 inch x 26 inch(69 cm x 66 cm)
2733,27,33,27 inch x 33 inch(69 cm x 84 cm)
2735,27,35,27 inch x 35 inch(69 cm x 89 cm)
2823,28,23,28 inch x 23 inch(71 cm x 58 cm)
2922,29,22,29 inch x 22 inch(74 cm x 56 cm)
2923,29,23,29 inch x 23 inch(74 cm x 58 cm)
2924,29,24,29 inch x 24 inch(74 cm x 61 cm)
2925,29,25,29 inch x 25 inch(74 cm x 64 cm)
2936,29,36,29 inch x 36 inch(74 cm x 91 cm)
2937,29,37,29 inch x 37 inch(74 cm x 94 cm)
2938,29,38,29 inch x 38 inch(74 cm x 97 cm)
2939,29,39,29 inch x 39 inch(74 cm x 99 cm)
3020,30,20,30 inch x 20 inch(76 cm x 51 cm)
3024,30,24,30 inch x 24 inch(76 cm x 61 cm)
3030,30,30,30 inch x 30 inch(76 cm x 76 cm)
3034,30,34,30 inch x 34 inch(76 cm x 86 cm)
3037,30,37,30 inch x 37 inch(76 cm x 94 cm)
3040,30,40,30 inch x 40 inch(76 cm x 102 cm)
3046,30,46,30 inch x 46 inch(76 cm x 117 cm)
3060,30,60,30 inch x 60 inch(76 cm x 152 cm)
3124,31,24,31 inch x 24 inch(79 cm x 61 cm)
3125,31,25,31 inch x 25 inch(79 cm x 64 cm)
3216,32,16,32 inch x 16 inch(81 cm x 41 cm)
3218,32,18,32 inch x 18 inch(81 cm x 46 cm)
3223,32,23,32 inch x 23 inch(81 cm x 58 cm)
3224,32,24,32 inch x 24 inch(81 cm x 61 cm)
3225,32,25,32 inch x 25 inch(81 cm x 64 cm)
3226,32,26,32 inch x 26 inch(81 cm x 66 cm)
3232,32,32,32 inch x 32 inch(81 cm x 81 cm)
3235,32,35,32 inch x 35 inch(81 cm x 89 cm)
3239,32,39,32 inch x 39 inch(81 cm x 99 cm)
3240,32,40,32 inch x 40 inch(81 cm x 102 cm)
3242,32,42,32 inch x 42 inch(81 cm x 107 cm)
3244,32,44,32 inch x 44 inch(81 cm x 112 cm)
3246,32,46,32 inch x 46 inch(81 cm x 117 cm)
3251,32,51,32 inch x 51 inch(81 cm x 130 cm)
3324,33,24,33 inch x 24 inch(84 cm x 61 cm)
3326,33,26,33 inch x 26 inch(84 cm x 66 cm)
3528,35,28,35 inch x 28 inch(89 cm x 71 cm)
3537,35,37,35 inch x 37 inch(89 cm x 94 cm)
3538,35,38,35 inch x 38 inch(89 cm x 97 cm)
3541,35,41,35 inch x 41 inch(89 cm x 104 cm)
3545,35,45,35 inch x 45 inch(89 cm x 114 cm)
3546,35,46,35 inch x 46 inch(89 cm x 117 cm)
3622,36,22,36 inch x 22 inch(91 cm x 56 cm)
3624,36,24,36 inch x 24 inch(91 cm x 61 cm)
3626,36,26,36 inch x 26 inch(91 cm x 66 cm)
3627,36,27,36 inch x 27 inch(91 cm x 69 cm)
3628,36,28,36 inch x 28 inch(91 cm x 71 cm)
3629,36,29,36 inch x 29 inch(91 cm x 74 cm)
3632,36,32,36 inch x 32 inch(91 cm x 81 cm)
3636,36,36,36 inch x 36 inch(91 cm x 91 cm)
3637,36,37,36 inch x 37 inch(91 cm x 94 cm)
3643,36,43,36 inch x 43 inch(91 cm x 109 cm)
